Listing of POP Irradiance Cross-Section Data

File : C:\Users\pwfa-facet2\Desktop\pyzemaxslac\exee.ZMX
Title: 
Date : 12/12/2017


Center, X = 0.0000E+00Irradiance Y-Cross section surface 6 
Wavelength 0.55000 µm in index 1.00000 at 0.0000 (deg)
Center, X = 0.0000E+00
Grid size (X by Y): 256 by 128


  Y Coordinate	    Irradiance
 -1.697995E+01	  2.190112E-08
 -1.671464E+01	  2.221584E-08
 -1.644933E+01	  2.287421E-08
 -1.618401E+01	  2.304612E-08
 -1.591870E+01	  2.277383E-08
 -1.565339E+01	  2.254326E-08
 -1.538808E+01	  2.279480E-08
 -1.512277E+01	  2.363731E-08
 -1.485746E+01	  2.486673E-08
 -1.459214E+01	  2.616381E-08
 -1.432683E+01	  2.729198E-08
 -1.406152E+01	  2.819264E-08
 -1.379621E+01	  2.897160E-08
 -1.353090E+01	  2.982483E-08
 -1.326559E+01	  3.095713E-08
 -1.300027E+01	  3.252709E-08
 -1.273496E+01	  3.462702E-08
 -1.246965E+01	  3.729077E-08
 -1.220434E+01	  4.051667E-08
 -1.193903E+01	  4.429429E-08
 -1.167372E+01	  4.862786E-08
 -1.140840E+01	  5.355399E-08
 -1.114309E+01	  5.915404E-08
 -1.087778E+01	  6.556338E-08
 -1.061247E+01	  7.298059E-08
 -1.034716E+01	  8.167965E-08
 -1.008185E+01	  9.202836E-08
 -9.816534E+00	  1.045170E-07
 -9.551222E+00	  1.198025E-07
 -9.285910E+00	  1.387758E-07
 -9.020598E+00	  1.626659E-07
 -8.755287E+00	  1.932007E-07
 -8.489975E+00	  2.328627E-07
 -8.224663E+00	  2.853022E-07
 -7.959352E+00	  3.560286E-07
 -7.694040E+00	  4.535984E-07
 -7.428728E+00	  5.917425E-07
 -7.163416E+00	  7.933317E-07
 -6.898105E+00	  1.098149E-06
 -6.632793E+00	  1.579018E-06
 -6.367481E+00	  2.377645E-06
 -6.102170E+00	  3.791053E-06
 -5.836858E+00	  6.502035E-06
 -5.571546E+00	  1.227429E-05
 -5.306234E+00	  2.638536E-05
 -5.040923E+00	  6.751064E-05
 -4.775611E+00	  2.093310E-04
 -4.510299E+00	  1.309170E-03
 -4.244988E+00	  7.348013E-02
 -3.979676E+00	  1.046078E+00
 -3.714364E+00	  1.160174E+00
 -3.449052E+00	  1.051506E+00
 -3.183741E+00	  1.162548E+00
 -2.918429E+00	  1.169517E+00
 -2.653117E+00	  1.209629E+00
 -2.387805E+00	  1.231527E+00
 -2.122494E+00	  1.278690E+00
 -1.857182E+00	  1.290246E+00
 -1.591870E+00	  1.327036E+00
 -1.326559E+00	  1.335461E+00
 -1.061247E+00	  1.355891E+00
 -7.959352E-01	  1.372485E+00
 -5.306234E-01	  1.386131E+00
 -2.653117E-01	  1.387471E+00
  0.000000E+00	  1.386766E+00
  2.653117E-01	  1.387471E+00
  5.306234E-01	  1.386131E+00
  7.959352E-01	  1.372485E+00
  1.061247E+00	  1.355891E+00
  1.326559E+00	  1.335461E+00
  1.591870E+00	  1.327036E+00
  1.857182E+00	  1.290246E+00
  2.122494E+00	  1.278690E+00
  2.387805E+00	  1.231527E+00
  2.653117E+00	  1.209629E+00
  2.918429E+00	  1.169517E+00
  3.183741E+00	  1.162548E+00
  3.449052E+00	  1.051506E+00
  3.714364E+00	  1.160174E+00
  3.979676E+00	  1.046078E+00
  4.244988E+00	  7.348013E-02
  4.510299E+00	  1.309170E-03
  4.775611E+00	  2.093310E-04
  5.040923E+00	  6.751064E-05
  5.306234E+00	  2.638536E-05
  5.571546E+00	  1.227429E-05
  5.836858E+00	  6.502035E-06
  6.102170E+00	  3.791053E-06
  6.367481E+00	  2.377645E-06
  6.632793E+00	  1.579018E-06
  6.898105E+00	  1.098149E-06
  7.163416E+00	  7.933317E-07
  7.428728E+00	  5.917425E-07
  7.694040E+00	  4.535984E-07
  7.959352E+00	  3.560286E-07
  8.224663E+00	  2.853022E-07
  8.489975E+00	  2.328627E-07
  8.755287E+00	  1.932007E-07
  9.020598E+00	  1.626659E-07
  9.285910E+00	  1.387758E-07
  9.551222E+00	  1.198025E-07
  9.816534E+00	  1.045170E-07
  1.008185E+01	  9.202836E-08
  1.034716E+01	  8.167965E-08
  1.061247E+01	  7.298059E-08
  1.087778E+01	  6.556338E-08
  1.114309E+01	  5.915404E-08
  1.140840E+01	  5.355399E-08
  1.167372E+01	  4.862786E-08
  1.193903E+01	  4.429429E-08
  1.220434E+01	  4.051667E-08
  1.246965E+01	  3.729077E-08
  1.273496E+01	  3.462702E-08
  1.300027E+01	  3.252709E-08
  1.326559E+01	  3.095713E-08
  1.353090E+01	  2.982483E-08
  1.379621E+01	  2.897160E-08
  1.406152E+01	  2.819264E-08
  1.432683E+01	  2.729198E-08
  1.459214E+01	  2.616381E-08
  1.485746E+01	  2.486673E-08
  1.512277E+01	  2.363731E-08
  1.538808E+01	  2.279480E-08
  1.565339E+01	  2.254326E-08
  1.591870E+01	  2.277383E-08
  1.618401E+01	  2.304612E-08
  1.644933E+01	  2.287421E-08
  1.671464E+01	  2.221584E-08
  1.697995E+01	  2.190112E-08
