Listing of POP Irradiance Cross-Section Data			
			
File : C:\Users\pwfa-facet2\Desktop\pyzemaxslac\exee.ZMX			
Title: 			
Date : 12/12/2017			
			
			
"Center, Y = 0.0000E+00Irradiance X-Cross section surface 6 "			
Wavelength 0.55000 µm in index 1.00000 at 0.0000 (deg)			
"Center, Y = 0.0000E+00"			
Grid size (X by Y): 256 by 128			
			
			
  X Coordinate	    Irradiance_x	  Y Coordinate	    Irradiance_y
-1.70E+01	7.69E-08	-1.70E+01	2.19E-08
-1.68E+01	7.73E-08	-1.67E+01	2.22E-08
-1.67E+01	7.72E-08	-1.64E+01	2.29E-08
-1.66E+01	7.70E-08	-1.62E+01	2.30E-08
-1.64E+01	7.77E-08	-1.59E+01	2.28E-08
-1.63E+01	7.90E-08	-1.57E+01	2.25E-08
-1.62E+01	8.03E-08	-1.54E+01	2.28E-08
-1.61E+01	8.13E-08	-1.51E+01	2.36E-08
-1.59E+01	8.18E-08	-1.49E+01	2.49E-08
-1.58E+01	8.18E-08	-1.46E+01	2.62E-08
-1.57E+01	8.15E-08	-1.43E+01	2.73E-08
-1.55E+01	8.11E-08	-1.41E+01	2.82E-08
-1.54E+01	8.09E-08	-1.38E+01	2.90E-08
-1.53E+01	8.12E-08	-1.35E+01	2.98E-08
-1.51E+01	8.19E-08	-1.33E+01	3.10E-08
-1.50E+01	8.31E-08	-1.30E+01	3.25E-08
-1.49E+01	8.49E-08	-1.27E+01	3.46E-08
-1.47E+01	8.71E-08	-1.25E+01	3.73E-08
-1.46E+01	8.96E-08	-1.22E+01	4.05E-08
-1.45E+01	9.22E-08	-1.19E+01	4.43E-08
-1.43E+01	9.49E-08	-1.17E+01	4.86E-08
-1.42E+01	9.74E-08	-1.14E+01	5.36E-08
-1.41E+01	9.98E-08	-1.11E+01	5.92E-08
-1.39E+01	1.02E-07	-1.09E+01	6.56E-08
-1.38E+01	1.04E-07	-1.06E+01	7.30E-08
-1.37E+01	1.06E-07	-1.03E+01	8.17E-08
-1.35E+01	1.08E-07	-1.01E+01	9.20E-08
-1.34E+01	1.10E-07	-9.82E+00	1.05E-07
-1.33E+01	1.12E-07	-9.55E+00	1.20E-07
-1.31E+01	1.14E-07	-9.29E+00	1.39E-07
-1.30E+01	1.17E-07	-9.02E+00	1.63E-07
-1.29E+01	1.20E-07	-8.76E+00	1.93E-07
-1.27E+01	1.23E-07	-8.49E+00	2.33E-07
-1.26E+01	1.27E-07	-8.22E+00	2.85E-07
-1.25E+01	1.32E-07	-7.96E+00	3.56E-07
-1.23E+01	1.37E-07	-7.69E+00	4.54E-07
-1.22E+01	1.43E-07	-7.43E+00	5.92E-07
-1.21E+01	1.50E-07	-7.16E+00	7.93E-07
-1.19E+01	1.57E-07	-6.90E+00	1.10E-06
-1.18E+01	1.64E-07	-6.63E+00	1.58E-06
-1.17E+01	1.73E-07	-6.37E+00	2.38E-06
-1.15E+01	1.82E-07	-6.10E+00	3.79E-06
-1.14E+01	1.92E-07	-5.84E+00	6.50E-06
-1.13E+01	2.02E-07	-5.57E+00	1.23E-05
-1.11E+01	2.13E-07	-5.31E+00	2.64E-05
-1.10E+01	2.25E-07	-5.04E+00	6.75E-05
-1.09E+01	2.38E-07	-4.78E+00	2.09E-04
-1.07E+01	2.52E-07	-4.51E+00	1.31E-03
